,URLs,Year_Released,Title,IMDB Ids,Cast,Plot_Summary,Review,Genre,Released Date,Plot Keywords,Duration,Age of content
0,https://www.imdb.com//title/tt1187043/?ref_=fn_al_tt_1,2009.0,3 Idiots ,tt1187043,"With Aamir Khan, Madhavan, Sharman Joshi, Kareena Kapoor","""Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them &quot;idiots&quot;."",""","""I was lucky to see the first day show of 3 idiots on Thursday in Dubai. Well the title of this post says it all. The movie is an example of classic film making. brilliant and highly entertaining.\n\nWatch 3 idiots for a) amir khan&apos;s incredible acting b) intelligent and highly energatic screenplay &amp; direction (Rajkumar Hirani has done it yet again!) c) amazing chemistry among actors, d) some of the best comedy scenes coming from Indian cinema in a long time and e) a heart warming story which keeps you spell binded right till the end.\n\nI would rate it as among the best from amir khan (which obviously means among the very best from bollywood. I would also give a lot of credit to the director rajkumar hirani, who after this movie (and his previous munna bhai series) should rank as among the top in bollywood too. 9/10.""},""aggregateRating""","[""Comedy"",""Drama""]","""2009-12-25""","""papadum,hairy chest,against the system,coming of age,college""","""2H50M""",13.0
1,https://www.imdb.com//title/tt0986264/?ref_=fn_al_tt_1,2007.0,Taare Zameen Par ,tt0986264,"With Darsheel Safary, Aamir Khan, Tisca Chopra, Vipin Sharma","""An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school."",""","""(I notice that there are many spoilers here already,therefore I wont go much into the plot detail)\n\nThere seems to be an implied understanding that Aamir Khan represents the last word on intellectual mainstream cinema.It was many years back when he decided to curtail the number of projects he takes up in an year which was considered suicidal then but now is the norm for most of the top stars.For last 14 years this man has pushed the envelope for mainstream by taking some unprecedented risks with young directors and pulling it off time and time again.For some of us who have followed his career choices,there was a feeling that he would make a great director.His choices of films are a testimony to his understanding of the medium and the audience within the mainstream perspective.\n\n&quot;Taare Zameen Par&quot; is his first directorial venture,less by design and more by circumstances.Based on the brilliant script by Amol Gupte who is one of the innovative painters and theater personalities,the story dwells into the life of boy struggling to find himself in this ruthless world.Briefly,the boy &quot;Ishan&quot; who suffers from dyslexia comes from a middle class Indian family who is unable to read/learn or identify letters.Constantly bombarded with unrelenting taunts for his poor academics and being labeled as a &quot;duffer&quot;,he is isolated into his world of colors which is the only place he can seek solace in.But Ishan reaches a new low when he is packed off to boarding school by his father.The hard regimen and discipline of the school frustrates the boy out of his wits and he is finding drastic ways to put an end to his misery.He no longer feels th need to communicate .Just when things seem irrevocable,comes the art teacher,Aamir Khan,who being a dyslexic himself and working with the &quot;less privileged&quot; children identifies Ishan&apos;s troubles and can read through his silence,is sanitized by the apathy towards him.Then starts the process of resurrecting the boy&apos;s dying self belief and charting out a way for him to read and learn.The boy starts to slowly but surely come out of his shell and become a &quot;child&quot; again.\n\nOne of the many aspects of a perfect film is that nothing seems to stand out,every aspect whether it be the performances,the camera work,the sound mixing,the lighting,the editing etc everything seems in sync.Same can be said about this movie.But the thing that I found overwhelming as a viewer is the music by &quot;Shankar&quot;-Ehsaan-Loy&quot; and the lyrics by &quot;Prasoon Joshi&quot;.Watch out for &quot;taare zameen par&quot;,&quot;Meri Maa&quot;,these will definitely break you down.The cinematography by Setu is flawless and Aamir does not fall into the trap of being slick or showing off in his debut effort.(Watch how the camera is usually at Ishan&apos;s height to show his perspective,watch how slowly the camera pans into Ishan&apos;s space and how still and focused it is on his face when he is about to bare his emotions) \n\nThe performances are top draw.Darsheel who plays Ishan is the crux of the film.Being the main protagonist his performance was critical to the film.I dare say,we have found a new star.The boy is brilliant in his joy,in his enthusiasm,in his loneliness as he allows us to enter his world.I feel he represents children all over the world and more critically the &quot;child&quot; within all of us.Of the support cast Tisca Chopra and Aamir Khan are brilliant as his mother and teacher respectively.Because the movie revolves around a middle class family in suburban Mumbai,I guess these characters and their emotions are something I can relate to.\n\nFinally(on the movie),kudos to Amol Gupte and Aamir Khan.Let us not forget this was Amol&apos;s baby and he had worked with children and done research for 7 years.What he came with was a near perfect script and it is only fair that he was credited as a creative director.What can I say about Aamir Khan that hasn&apos;t been said before?I think with every movie he is setting new yardsticks for Indian cinema.His movies clearly have elaborated that our movies can have all the commercial trappings yet need not be &quot;dumbed down&quot;.They can be as intellectually stimulating.All I can say is that it is privilege to be in an era where this champion actor is at the absolute peak of his powers.With this movie he goes into the elite list of actors who happen to be great story tellers.\n\nBut is this movie about dyslexia?Is this movie about the failure of our education system in not nurturing the individual talent but creating assembly line products?Are we as a society so obsessed with the &quot;idea&quot; of security through academics that creativity is of no accord to us?Are we preparing our children for a rat race or we preparing them for life?Are parents right in imposing their ambitions on the life they bring to this earth ?Some question that I have asked of myself before and some that I ask now.I guess the main motive of the film is as the tag line says &quot;every child is special&quot; for the talent he has.Our job is to nurture it,not mold it.\n\np.s. I have been a frequent movie goer for last 7-8 years.But haven&apos;t seen a response like I did for this one.Everyone in the theater was in tears and simultaneous applause and is not because it was a sad film but it was &quot;overwhelming&quot;.I guess there some part of Ishan in all of our lives.The second aspect that I have never witnessed in theaters before was that nobody moved till the credits were over.There is documentary on children at the end(do not miss it for anything,it is as moving as the film).""},""aggregateRating""","[""Drama"",""Family""]","""2007-12-21""","""teacher student relationship,dyslexia,against the odds,paint,water""","""2H45M""",15.0
2,https://www.imdb.com//title/tt2338151/?ref_=fn_al_tt_1,2014.0,PK ,tt2338151,"With Aamir Khan, Rajinder Sharma Nanu, Anushka Sharma, Sushant Singh Rajput","""An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religion on its people."",""","""First half of the movie focuses on comedic aspect. I think the last time I heard such hearty laughs were at 3 idiots screening. Amir Khan&apos;s acting is brilliant as always. Whoever wrote this story had given it much thought on the basic idea as it was thought provoking and tries to shatter the root of evil in our religious society. \n\nBut the upper layers of the story were like any other Indian movie, with same emotional drama in awkward places, a love story, an evil guy who gets ridiculed, etc. Thus the movie couldn&apos;t get too deep. It couldn&apos;t deliver to its full potential, but at any moment in the story I didn&apos;t feel bored. Songs are right on spot and creates a good mood. \n\nThe movie also makes you realize how colorful, beautiful yet complex Indian society is. If you liked the movie Oh my god! then I am sure you would like this too. Worth a watch anyway."",""reviewRating""","[""Comedy"",""Drama"",""Sci-Fi""]","""2014-12-19""","""guru,religion,tv reporter,alien on earth,papadum""","""2H33M""",8.0
3,https://www.imdb.com//title/tt5074352/?ref_=fn_al_tt_1,2016.0,Dangal ,tt5074352,"With Aamir Khan, Fatima Sana Shaikh, Sanya Malhotra, Sakshi Tanwar","""Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression."",""","""If I would I&apos;ve seen this movie in 2016, it certainly would have been in my list of best movies. If you&apos;re going to this movie thinking Aamir will be flexing and showcasing his acting prowess then well and good but the girls are the highlight of the movie, hands down. SCRIPT - Major props to bringing out a story which is inspiring and one which India needs right now. The story is kept grounded in reality. No over-the-top gimmicks. The songs blend in very well with the premise. None of the scenes linger on for a long period of time. There was a very natural flow to the story which helped engage the audience for 2 hours and 41 minutes. Even movies like Mary Kom or Bhaag Milkha Bhaag started to drag by the end but hats off to Piyush Gupta and Shreyas Jain. I have said this that dialogue shouldn&apos;t seem like dialogue unless it is a musical or a re-imagining of a play. The dialogue in this movie is a lesson as to how dialogue should be used. Little nods and grunts and expressions serve more than an explanatory conversation. I am not a fan of narration and I wasn&apos;t really liking it here either. It was fine for the light-hearted scenes but the serious scenes required silence but I can give it a pass. The only scene which felt a bit off is where Mahavir gets locked up in a room before the final fight. If it didn&apos;t happen in reality then it was really unnecessary. DIRECTION - Chillar Party was a movie with some serious message but was a little preachy and Bhootnath Returns went full preachy. Nitesh Tiwari toned down that preaching to a very natural level in this movie. Every single topic that has happened or still happens in a family was touched upon. Beginning from the sleaziness of men to child-marriage to the sacrifice parents make, everything was utilised to the advantage of the movie. None of that brought the movie to a halt. The first half of the movie had a good amount of comedy and that gelled into the second half with ease. The thing that many might not notice that there are no pay-off scenes except for the last scene. If the audience reaches a peak before the ending then the pay-off wouldn&apos;t have a solid effect, if used multiple times. Pay-off scenes are those scenes where the characters are shown to be doing things in extra slow-motion to have an orgasmic effect on the audience and the director cleverly used it at the end in order to give proper tribute to the art and the character. FIGHT CHOREOGRAPHY - This section needed a category of it&apos;s own and quite deservedly. I saw Mary Kom, Sultan and Saala Khadoos which had extensive fight scenes and all of the movies had extremely lack-lustre fight scenes. The camera moved too much in order to cover up the actor/actresses&apos; incapability to fight. In comparison to all those movies, here the camera just followed the fighters. No wide-shots of the fight from the audience&apos;s perspective because that allows the stunt double to come in. All the fights had the actresses in the scene and hats off to all of them for their dedication. ACTING - Like I said before, the best performance among some amazing performances was of the newcomer Fatima Sana Shaikh. That said, it will really be unjust to name one performance as the best performance because everyone was amazing in this movie. Aamir Khan, Sakshi Tanwar, Sanya Malhotra, Aparshakti Khurana,Zaira Wasim, Suhani Bhatnagar,Ritwik Shore and Girish Kulkarni gave amazing performances. As Aamir had put on so much weight, that altered his physicality a lot which enhanced his performance to another level. Sakshi Tanwar should be doing more movies. She gave a very subdued and nuanced performance. Sanya Malhotra as the grown up Babita had very few scenes but her eyes spoke when she didn&apos;t have any dialogue. Zaira Wasim and Sulhani Bhatnagar were awesome, just awesome. I was in awe how they are able to emote so much at their age. Ritwik Shore and Aparshakti Khurana together made Omkar a memorable character. I think they had some of the best scenes in the entire movie. I wanted to kill Girish Kulkarni after Ugly and after this I still want to kill him and that&apos;s a compliment. The side actors who formed the audience and little roles like the Dangal organiser and the guy who had sleazy theatre also gave substance to the movie. FINAL VERDICT - I am sure everyone has seen this movie by now and if you haven&apos;t then please do. It&apos;s a complete movie and it is very rare to see a complete movie, without gimmicks nowadays. I loved how they had such eye for detail because they gave that damaged effect to Aamir&apos;s ear. Many wouldn&apos;t notice it but it&apos;s great to that they did to provide authenticity to the character and the movie. It&apos;s a 10/10 for me and one of the best movies of 2016."",""reviewRating""","[""Action"",""Biography"",""Drama""]","""2016-12-23""","""small town,father daughter relationship,male objectification,bare chested male,female protagonist""","""2H41M""",6.0
4,https://www.imdb.com//title/tt0405508/?ref_=fn_al_tt_1,2006.0,Rang De Basanti ,tt0405508,"With Aamir Khan, Siddharth, Sharman Joshi, Kunal Kapoor","""The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom."",""","""Paint It Yellow. Oops.that&apos;s suppose to be Rang De Basanti.. Well that&apos;s exactly the director tries to convey. Its about today, us and our present, yet the similarities we have from the Pre-independence era. The Gen-x who knows Mac-D but still prefers the Dhaba Paranthas with sweet Lassi. However they restrict their national values only to food and nothing more. Its not a run of the mill stuff with 6 six romantic songs, couple of foreign locales and then finally some emotional drama.. No no no.. Rang Deis a Cult movie. It is more of an introspection, a food for our thought process. It makes us think, as to how should we actually celebrate our freedom. I was really moved by some of the ending lines by the narrator, &quot;I thought there are 2 types of people in the world, one who die crying and other who move away in silence but today I learned there is third genre, people who go laughing&quot;. That says it all \n\nRang De is definitely a very brave and innovative attempt by the director and for that matter he has selected a near perfect cast. However veterans like Om Puri and Anupam Kher looked disposed. All the characters grow gradually in the film and make you think their way. Everyone is given enough space to justify their talent. Rakesh Omprakash Mehra is a director of the new emerging Indian cinema, he always tries to bring in something very different. I was really impressed by his last attempt in 2001 for Aks (Amitabh Bachchan and Manoj Bajpai ), and he definitely has succeeded in making another fabulous master piece. The highlight of the movie is the great use of cinematography techniques. Its probably for the first time in Indian cinema that juxtaposing has been used with such a great effect. The way each character gradually immerses into scenes from the past leaves you fantasizing about the hard work that has gone in the background to create this, both technically and on the part of the actor.\n\nThe movie starts on a very high spirit reflecting today&apos;s youth mindset who believe that patriotism is something that looks good in history chapters and today&apos;s world is far ahead of all that, they would prefer to go boozing and dancing rather than thinking on any of those lines. The way the campus scenes are shown really makes everyone go down the memory lanes of beautiful college days. This is followed by some intriguing drama and events which turns the life of a group of buddies upside-down altogether.\n\nThe film grows on you gradually. The director has made sure that there is a clear message in everything he presents, even the group of boys represents different sects of society and religion. Hence creating an appeal for everyone watching it. Music is another high point of the show, its foot tapping and very much with the mood of the subject. The songs give you a sense of freedom from within, a freedom to think in one&apos;s own way. A.R. Rehman doesn&apos;t need any introductions and he is surely one of the most original music directors we have in the country.\n\nThe brilliance of Aamir Khan is something very difficult to narrate, he has proved it umpteen number of times that he is truly the most versatile actor in the industry. His comic timing in the first part is better than anything seen in recent past. He is extremely fluent even with difficult Punjabi tongue twisters and the acting prowess he has shown would be very difficult to match by anyone around. He appears so natural and his complete look with new hairstyle (which is now part of his every new movie) gives a very striking combination.\n\nWell the most wanting part of the whole thing has been the script to certain extent, it appears very loose in the second half and at times gives a droning feel. Few new ideas presented by the author looked half-baked. However it has been the technical expertise of the director who managed to save the things with some outstanding camera work and editing.\n\nRang De  is for sure a must watch movie, it doesn&apos;t have any preaching but still it will force you to think once. As they say it &quot;There are two primary choices in life, to accept conditions as they exist or take upon the responsibility to change them&quot;. I believe most of us want to bring about the changes without doing anything, so its time to think again folks and take some responsibility, lets Paint It Yellow"",""reviewRating""","[""Comedy"",""Crime"",""Drama""]","""2006-01-26""","""delhi india,murder,friend,india,awakening""","""2H47M""",16.0
5,https://www.imdb.com//title/tt0169102/?ref_=fn_al_tt_1,2001.0,Lagaan: Once Upon a Time in India ,tt0169102, ," Once Upon a Time in India"",""image""","""2003-08-18"",""inLanguage""","[""Drama"",""Musical"",""Sport""]","""2001-06-15""","""cricket the sport,indian freedom movement,land tax,british,village""","""3H44M""",21.0
6,https://www.imdb.com//title/tt1188996/?ref_=fn_al_tt_1,2010.0,My Name Is Khan ,tt1188996,"With Shah Rukh Khan, Kajol, Katie Amanda Keane, Kenton Duty","""An Indian Muslim man with Asperger&apos;s syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey."",""","""As a middle school teacher, I think there aren&apos;t many better movies for showing how 9/11 effected our migrant community. The movie is a bit broad, and it is definitely not flag waving, but it tackles real issues, and is emotionally taxing. The lead actor is very, very popular in South Asia, Africa, and China. Many of my students whose parents are from other countries easily recognize the actor. My students are at a point where they are very concerned with others opinions, and are not sure of their place in the world. This film allows my students to empathize with other cultures. It makes my students whose parents are foreign feel less alone. If you are looking for a great American drama, this is not it. If you want a window in to how the rest of the world lives, views America, and how they sometimes feel left out, this is it. I have yet to have a parent, a student, or a fellow teacher watch it and say, &quot;blah&quot;."",""reviewRating""","[""Drama"",""Romance""]","""2010-02-12""","""barack obama character,asperger&apos;s syndrome,racial profiling,autism,airport""","""2H45M""",12.0
7,https://www.imdb.com//title/tt0367110/?ref_=fn_al_tt_1,2004.0,"Swades: We, the People ",tt0367110, ," We, the People"",""image""","""2004-12-17"",""inLanguage""","[""Drama"",""Musical""]","""2004-12-17""","""timeframe 2000s,bollywood musical,india,village,nasa""","""3H30M""",18.0
8,https://www.imdb.com//title/tt1954470/?ref_=fn_al_tt_1,2012.0,Gangs of Wasseypur ,tt1954470,"With Manoj Bajpayee, Richa Chadha, Nawazuddin Siddiqui, Tigmanshu Dhulia","""A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations."",""","""An epic tale about loyalty, crime, lust, treachery and vendetta. A cinematic magnum opus.\n\nSet in Dhanbaad&apos;s(Jharkhand)Village, called Wasseypur, &quot;Gangs of Wasseypur&quot; starts with our very own &quot;Kyunki Saas bhi bahu thi&quot; and goes beyond the cinematic ethics. A saga which has all the ingredients of a cult cinema like black humor, full mouthed characters, adultery, bullets,vengeance and everything you expect in a film by Anurag Kashyap.\n\nEn route to end of British Raj in India, Shahid Khan, a dacoit, loots the British trains, masquerading as Sultana Daku, is shot dead by Ramadhir Singh&apos;s goon. Shahid&apos;s son, Sardar Khan, pledges to avenge his father&apos;s death and shaves his head. He becomes one of the most notorious gangsters of Wasseypur. The film reconnoiters his connections with power, politics and fraternity of crime. There is a clash between two Muslim groups Pathans and Qureshis, about their covetousness for glory and money.\n\nManoj Bajpai gives an impeccable performance as a violent and lecherous man. It is one of the powerhouse acts, we will ever encounter. The real find of the decade is Tigmanshu Dhuila a well-known cult director (Hassil, Paan Singh Tomar, Saheb Biwi aur Gangster etc), who embodied the character as if he himself is Ramdhir Singh.\n\nRicha Chadda is believable as Sardar Khan&apos;s anxious and bold wife. Reema Sen is good as a silent and steamy concubine of Sardar Khan.\n\nNawazuddin Siddiqui is a born thespian; he is believable as weed smoking, Amitabh&apos;s die-hard fan and black sheep of the family. We have already witnessed him in &quot;Kahaani&quot; and &quot;Peepli live&quot;. I think he is one of the most underrated actors, has now got an opportunity to flaunt himself in GOW II(I saw the trailer of Part II after the credit rolled).\n\nRest of the cast Piyush Mishra, Pankaj Tripathi, Huma Quershi(debut-She looks ravishing while persuading the theater&apos;s security guard for the second show of the movie &quot;Trishul&quot;) and others are so authentic that you will easily relate the characters with North India (Bihar), the dialects, the dialogue delivery, the expressions are genuine.\n\nThe music by Sneha Khanwalkar is down to earth, a triumph, it has the rustic soul and is very unique. One can understand the geniuses by listening the beats and lyrics. Some of them are folks sung by the locals.\n\nAnd after all it&apos;s Anurag Kashyap ,who can go to any length to enhance the quality of Indian Cinema. Undoubtedly it has been screened in Cannes,and people watched the entire saga (a delirious 5 Hours 20 Minutes run time) and lauded with the accolades. However, it should have been edited 20 minutes.\n\nImpatiently waiting for Part II.\n\n8.2/10"",""reviewRating""","[""Action"",""Comedy"",""Crime""]","""2012-06-22""","""revenge,blood,gun,abuse,gangster""","""5H21M""",10.0
9,https://www.imdb.com//title/tt1954470/?ref_=fn_al_tt_1,2012.0,Gangs of Wasseypur ,tt1954470,"With Manoj Bajpayee, Richa Chadha, Nawazuddin Siddiqui, Tigmanshu Dhulia","""A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations."",""","""An epic tale about loyalty, crime, lust, treachery and vendetta. A cinematic magnum opus.\n\nSet in Dhanbaad&apos;s(Jharkhand)Village, called Wasseypur, &quot;Gangs of Wasseypur&quot; starts with our very own &quot;Kyunki Saas bhi bahu thi&quot; and goes beyond the cinematic ethics. A saga which has all the ingredients of a cult cinema like black humor, full mouthed characters, adultery, bullets,vengeance and everything you expect in a film by Anurag Kashyap.\n\nEn route to end of British Raj in India, Shahid Khan, a dacoit, loots the British trains, masquerading as Sultana Daku, is shot dead by Ramadhir Singh&apos;s goon. Shahid&apos;s son, Sardar Khan, pledges to avenge his father&apos;s death and shaves his head. He becomes one of the most notorious gangsters of Wasseypur. The film reconnoiters his connections with power, politics and fraternity of crime. There is a clash between two Muslim groups Pathans and Qureshis, about their covetousness for glory and money.\n\nManoj Bajpai gives an impeccable performance as a violent and lecherous man. It is one of the powerhouse acts, we will ever encounter. The real find of the decade is Tigmanshu Dhuila a well-known cult director (Hassil, Paan Singh Tomar, Saheb Biwi aur Gangster etc), who embodied the character as if he himself is Ramdhir Singh.\n\nRicha Chadda is believable as Sardar Khan&apos;s anxious and bold wife. Reema Sen is good as a silent and steamy concubine of Sardar Khan.\n\nNawazuddin Siddiqui is a born thespian; he is believable as weed smoking, Amitabh&apos;s die-hard fan and black sheep of the family. We have already witnessed him in &quot;Kahaani&quot; and &quot;Peepli live&quot;. I think he is one of the most underrated actors, has now got an opportunity to flaunt himself in GOW II(I saw the trailer of Part II after the credit rolled).\n\nRest of the cast Piyush Mishra, Pankaj Tripathi, Huma Quershi(debut-She looks ravishing while persuading the theater&apos;s security guard for the second show of the movie &quot;Trishul&quot;) and others are so authentic that you will easily relate the characters with North India (Bihar), the dialects, the dialogue delivery, the expressions are genuine.\n\nThe music by Sneha Khanwalkar is down to earth, a triumph, it has the rustic soul and is very unique. One can understand the geniuses by listening the beats and lyrics. Some of them are folks sung by the locals.\n\nAnd after all it&apos;s Anurag Kashyap ,who can go to any length to enhance the quality of Indian Cinema. Undoubtedly it has been screened in Cannes,and people watched the entire saga (a delirious 5 Hours 20 Minutes run time) and lauded with the accolades. However, it should have been edited 20 minutes.\n\nImpatiently waiting for Part II.\n\n8.2/10"",""reviewRating""","[""Action"",""Comedy"",""Crime""]","""2012-06-22""","""revenge,blood,gun,abuse,gangster""","""5H21M""",10.0
